Rank,Name,Country,Age,NetWorth,Source of Wealth
1367,Urs Wietlisbach,Switzerland,54,1.3,Private Equity
1367,Dan Wilks,United States,59,1.3,Natural Gas
1367,Farris Wilks,United States,64,1.3,Natural Gas
1367,Evan Williams,United States,43,1.3,Twitter
1367,Wu Gang,China,39,1.3,Money Management
1367,Wu Xushun,China,67,1.3,"Internet, Auto Parts"
1367,Elaine Wynn,United States,73,1.3,"Casinos, Hotels"
1367,Takao Yasuda,Japan,66,1.3,Retail
1367,Yuan Fugen,China,65,1.3,Metal Processing
1367,Zhang Bangxin,China,36,1.3,After School Tutoring
1367,Zhang Kaiyuan,China,61,1.3,Gas Desulfurization
1367,Zhang Zhangsun,China,59,1.3,Real Estate
1367,Zheng Xiaodong,China,52,1.3,Manufacturing
1367,Zhu Chongyun,China,51,1.3,Apparel Retailer
1367,Susanne Zimmermann von Siefart Â,Germany,59,1.3,Vacuums/Home Cleaning Products
1367,Ahmet Nazif Zorlu,Turkey,71,1.3,Diversified
1476,Aras Agalarov,Russia,60,1.2,Real Estate
1476,Ali Ibrahim Agaoglu,Turkey,61,1.2,Construction
1476,Anil Agarwal,India,62,1.2,"Mining, Metals"
1476,Maurice Alter,Australia,90,1.2,Real Estate
1476,Alexandra Andresen,Norway,19,1.2,Investments
1476,Katharina Andresen,Norway,20,1.2,Investments
1476,Roberto Angelini Rossi,Chile,67,1.2,"Forestry, Mining"
1476,Vasily Anisimov,Russia,64,1.2,Real Estate
1476,Ao Xiaoqiang,China,51,1.2,Electrical Equipment
1476,Naruatsu Baba,Japan,38,1.2,Smartphone Games
1476,Binny Bansal,India,33,1.2,Flipkart
1476,Sachin Bansal,India,34,1.2,Flipkart
1476,Leonid Boguslavsky,Russia,64,1.2,Venture Capital
1476,Oleg Boyko,Russia,51,1.2,Diversified
1476,Anna Maria Braun,Germany,37,1.2,Medical Technology
1476,Johanna Braun,Germany,36,1.2,Medical Technology
1476,Karl Friedrich Braun,Germany,33,1.2,Medical Technology
1476,Ludwig Theodor Braun,Germany,26,1.2,Medical Technology
1476,Nicola Bulgari,Italy,75,1.2,Luxury Goods
1476,Paolo Bulgari,Italy,78,1.2,Luxury Goods
1476,Jean Burelle,France,77,1.2,Automotive Systems
1476,Laurent Burelle,France,66,1.2,Automotive Systems
1476,Cai Xiaoru,China,36,1.2,Electronic Components
1476,Cao Kejian,China,53,1.2,"Air Compressors, Drills"
1476,Chen Qingzhou,China,50,1.2,Communications Equipment
1476,Chen Yansheng,China,45,1.2,"Toys, Entertainment"
1476,Cheng Xianfeng,China,47,1.2,Pharmaceuticals
1476,Jim Davis,United States,55,1.2,Staffing & Recruiting Firm
1476,Maria Del Pino y Calvo-Sotelo,Spain,59,1.2,Construction
1476,Andrea Della Valle,Italy,50,1.2,Shoes
1476,K. Dinesh,India,61,1.2,Software Services
1476,Sefik Yilmaz Dizdar,Turkey,77,1.2,Fashion And Retail
1476,Alexander Dzhaparidze,Russia,60,1.2,Oil Services
1476,Martin Ebner,Switzerland,70,1.2,Investments
1476,Charles Edelstenne,France,78,1.2,Aviation
1476,Gary Fegel,Switzerland,42,1.2,Commodities Trading
1476,Gleb Fetisov,Russia,49,1.2,Investments
1476,Abhay Firodia,India,71,1.2,Automobiles
1476,Paul Foster,United States,58,1.2,Oil Refining
1476,Sameer Gehlaut,India,41,1.2,Finance
1476,Geng Jianming,China,53,1.2,Real Estate
1476,Dan Gertler,Israel,42,1.2,Mining
1476,Serge Godin,Canada,66,1.2,Information Technology
1476,Ayman Hariri,Lebanon,37,1.2,"Construction, Investments"
1476,Fahd Hariri,Lebanon,35,1.2,"Construction, Investments"
1476,Alfredo Harp Helu,Mexico,71,1.2,Banking
1476,Reed Hastings,United States,55,1.2,Netflix
1476,Richard Hayne,United States,68,1.2,Urban Outfitters
1476,Lawrence Ho,Hong Kong,39,1.2,Casinos
1476,Stewart Horejsi,United States,78,1.2,Berkshire Hathaway
1476,Huang Chulong,China,n/a,1.2,Real Estate
1476,Hur Young-In,South Korea,66,1.2,Bakeries/Fast-Food Outlets
1476,Hal Jackman,Canada,83,1.2,"Insurance, Investments"
1476,Devendra Jain,India,87,1.2,Chemicals
1476,Stephen Jarislowsky,Canada,90,1.2,Money Management
1476,T.S. Kalyanaraman,India,68,1.2,Jewelry
1476,Andrei Kosogov,Russia,54,1.2,"Oil, Banking, Telecom"
1476,Michael Krasny,United States,62,1.2,Retail
1476,Lev Kvetnoi,Russia,50,1.2,"Cement, Airport"
1476,William Lauder,United States,55,1.2,Estée Lauder
1476,Peter Leibinger,Germany,49,1.2,Machine Tools
1476,Regine Leibinger,Germany,53,1.2,Machine Tools
1476,Li Fucheng,China,70,1.2,Agribusiness
1476,Liu Changqing,China,63,1.2,Banking Equipment
1476,Cameron Mackintosh,United Kingdom,69,1.2,Musical Theater
1476,Coucke Marc,Belgium,51,1.2,Pharmaceuticals
1476,Kishore Mariwala,India,81,1.2,Consumer Goods
1476,John Martin,United States,64,1.2,Pharmaceuticals
1476,Willy Michel,Switzerland,69,1.2,Medical Devices
1476,Boris Mints,Russia,57,1.2,Real Estate
1476,Charles Munger,United States,92,1.2,Berkshire Hathaway
1476,Ni Zhaoxing,China,60,1.2,Real Estate
1476,Bruce Nordstrom,United States,82,1.2,Department Stores
1476,Pierre Papillaud,France,80,1.2,Water
1476,Victor Pinchuk,Ukraine,55,1.2,"Steel Pipes, Diversified"
1476,Conrad Prebys,United States,82,1.2,Real Estate
1476,Michael Price,United States,63,1.2,Investments
1476,Daniel Roullier,France,79,1.2,Animal Feed
1476,Ruan Shuilong,China,80,1.2,Chemicals
1476,Alan Rydge,Australia,63,1.2,Entertainment
1476,Sheryl Sandberg,United States,46,1.2,Facebook
1476,Monika Schoeller,Germany,77,1.2,Publishing
1476,Kirill Shamalov,Russia,33,1.2,Petrochemicals
1476,Shin Dong-Joo,South Korea,62,1.2,Retailing
1476,Evgeny (Eugene) Shvidler,United States,51,1.2,"Oil & Gas, Investments"
1476,Peter Sperling,United States,56,1.2,Education
1476,Michael Steinhardt,United States,75,1.2,Finance
1476,Su Weizhong,China,47,1.2,"Oil, Fertilizers"
1476,Sun Shoukuan,China,66,1.2,Metals. Coal
1476,Pavel Tykac,Czechia,51,1.2,Coal Mine
1476,Stefan von Holtzbrinck,Germany,52,1.2,Publishing
1476,Wang Junjin,China,47,1.2,Regional Airline
1476,Wen Jianping,China,54,1.2,Sewage Treatment
1476,Horst Wortmann,Germany,74,1.2,Footwear
1476,Wu Yiling,China,66,1.2,Pharmaceuticals
1476,Yang Keng,China,55,1.2,Real Estate
1476,Yu Minhong,China,54,1.2,Education
1476,Zhang Zhirong,Hong Kong,47,1.2,"Real Estate, Shipbuilding"
1476,Zhao Xiaoqiang,China,48,1.2,Apparel
1476,Zheng Jianjiang,China,55,1.2,Electrical Equipment
1476,Zhong Sheng Jian,Singapore,57,1.2,Real Estate
1577,Abdul Rasyid,Indonesia,58,1.1,Timber
1577,Alberto Alcocer,Spain,73,1.1,Investments
1577,Bill Alfond,United States,67,1.1,Shoes
1577,Peter Alfond,United States,63,1.1,Shoes
1577,Susan Alfond,United States,70,1.1,Shoes
1577,Ted Alfond,United States,71,1.1,Shoes
1577,Joy Alukkas,India,59,1.1,Jewelry
1577,Chirayu Amin,India,69,1.1,Pharmaceuticals
1577,Ayman Asfari,United Kingdom,57,1.1,Oil Services
1577,Thomas Bailey,United States,79,1.1,Money Management
1577,Achal Bakeri,India,56,1.1,Air Coolers
1577,Elena Baturina,Russia,52,1.1,Construction
1577,Eduardo Belmont Anderson,Peru,70,1.1,Cosmetics
1577,Aldo Bensadoun,Canada,77,1.1,Shoes
1577,William Berkley,United States,69,1.1,Insurance
1577,Albert Berner,Germany,80,1.1,Fasteners
1577,Sara Blakely,United States,45,1.1,Spanx
1577,John Bloor,United Kingdom,72,1.1,"Real Estate, Manufacturing"
1577,Charles Brandes,United States,73,1.1,Money Management
1577,Ana Maria Brescia Cafferata,Peru,91,1.1,"Mining, Banking"
1577,Hideyuki Busujima,Japan,63,1.1,Pachinko Machines
1577,Binod Chaudhary,Nepal,60,1.1,Diversified
1577,Cheng Xue,China,46,1.1,Soy Sauce
1577,Cho Chang-Gul,South Korea,76,1.1,Furniture
1577,Chu Mang Yee,China,56,1.1,Real Estate
1577,D. Leopoldo Del Pino y Calvo-Sotelo,Spain,53,1.1,Construction
1577,Norbert Dentressangle,France,61,1.1,Transport/Logistics
1577,Mohammed Dewji,Tanzania,40,1.1,Diversified
1577,Henry Engelhardt,United States,58,1.1,Insurance
1577,Fan Zhaoxia,China,48,1.1,Photovoltaic Equipment
1577,Stephen Feinberg,United States,55,1.1,Private Equity
1577,Soichiro Fukutake,Japan,70,1.1,Education
1577,Sanjiv Goenka,India,55,1.1,Diversified
1577,Gu Wei,China,51,1.1,Consumer Electronics
1577,Mehmet Nazif Gunal,Turkey,68,1.1,"Tourism, Construction"
1577,Suat Gunsel,Cyprus,63,1.1,"Real Estate, Education"
1577,Vinod Gupta,India,70,1.1,Electrical Equipment
1577,Clelia Haji-Ioannou,Cyprus,45,1.1,Easyjet
1577,Dorrance Hamilton,United States,87,1.1,Campbell Soup
1577,Han Tao,China,55,1.1,Electronics Components
1577,He Yamin,China,59,1.1,Manufacturing
1577,Ilkka Herlin,Finland,57,1.1,"Elevators, Escalators"
1577,Niklas Herlin,Finland,52,1.1,"Elevators, Escalators"
1577,J. Tomilson Hill,United States,67,1.1,Investments
1577,Hong Seok-Joh,South Korea,63,1.1,Retail
1577,Hua Xuande,China,72,1.1,Pharmaceuticals
1577,Mohammed Ibrahim,United Kingdom,69,1.1,Communications
1577,Irwin Jacobs,United States,82,1.1,Semiconductors
1577,Howard Jenkins,United States,64,1.1,Publix
1577,"Summerfield Johnston, Jr.",United States,83,1.1,Coca-Cola
1577,Michael Jordan,United States,53,1.1,Sports Team
1577,Ronald Joyce,Canada,85,1.1,Restaurants
1577,Billy Kan,Hong Kong,63,1.1,"Finance, Energy"
1577,Eugene Kaspersky,Russia,50,1.1,Software
1577,Raghuvinder Kataria,United Kingdom,66,1.1,Diversified
1577,Kim Taek-Jin,South Korea,48,1.1,Online Games
1577,Friedrich Knapp,Germany,64,1.1,Retail
1577,Kuan Kam Hon,Malaysia,68,1.1,Synthetic Gloves
1577,Anthony Langley,United Kingdom,61,1.1,Manufacturing
1577,Thomas Lau,Hong Kong,61,1.1,Department Stores
1577,Jane Lauder,United States,43,1.1,Cosmetics
1577,Lee Ho-Jin,South Korea,53,1.1,Petrochemicals / Finance / Media / Electronics
1577,Lee Myung-Hee,South Korea,72,1.1,Retail
1577,Nicola Leibinger-Kammueller,Germany,56,1.1,Inherited
1577,Li Tan,China,51,1.1,Pharmaceuticals
1577,Li Yong,China,n/a,1.1,Chemicals
1577,Li Zhen,China,52,1.1,Lithium Batteries
1577,Lin Bin,China,48,1.1,Smart phones
1577,Liu Baolin,China,62,1.1,"Pharmacies, Drug Distribution"
1577,Liu Zhenguo,China,51,1.1,Sewage Treatment
1577,Liu Zhiqiang,Hong Kong,51,1.1,Conglomerate
1577,Jose Llado Fernandez-Urrutia,Spain,81,1.1,Construction
1577,Anand Mahindra,India,60,1.1,Automobiles
1577,Ermirio Pereira de Moraes,Brazil,83,1.1,Diversified
1577,Maria Helena Moraes Scripilliti,Brazil,85,1.1,Diversified
1577,Patrice Motsepe,South Africa,54,1.1,Mining
1577,Mofatraj Munot,India,71,1.1,Real Estate
1577,Nan Cunhui,China,52,1.1,Electrical Power Equipment
1577,Oei Hong Leong,Singapore,67,1.1,Investments
1577,Kazuo Okada,Japan,73,1.1,Casinos
1577,Pan Weiming,China,52,1.1,Real Estate
1577,Lirio Parisotto,Brazil,62,1.1,Investments
1577,Abdulsamad Rabiu,Nigeria,55,1.1,"Cement, Sugar"
1577,Andrei Rappoport,Russia,52,1.1,Investments
1577,Antony Ressler,United States,54,1.1,Finance
1577,Ru Jiyong,China,43,1.1,"Home, Office Products"
1577,Remo Ruffini,Italy,54,1.1,Winter Jackets
1577,Yoshiyuki Sankai,Japan,57,1.1,Robotics
1577,Martin Selig,United States,78,1.1,Real Estate
1577,Brian Sheth,United States,40,1.1,Investments
1577,S.D. Shibulal,India,61,1.1,Software Services
1577,Nobutoshi Shimamura,Japan,89,1.1,Retail
1577,E. Joe Shoen,United States,66,1.1,U-Haul
1577,Martua Sitorus,Indonesia,56,1.1,Palm Oil
1577,Peter Spuhler,Switzerland,56,1.1,Train Cars
1577,Hsiang-chien Tang,Hong Kong,92,1.1,"Textiles, Electronics"
1577,Mustafa Latif Topbas,Turkey,71,1.1,Food Manufacturing And Retail
1577,Kenneth Tuchman,United States,56,1.1,Outsourcing
1577,Thomas Tull,United States,45,1.1,Movies
1577,Tung Chee Hwa,Hong Kong,78,1.1,Shipping
1577,Surin Upatkoon,Thailand,66,1.1,Telecoms/Lotteries/Insurance
1577,Susanne Veltins,Germany,56,1.1,Beer
1577,Lang Walker,Australia,70,1.1,Property
1577,Wang Junhao,China,43,1.1,Regional Airline
1577,Wang Yue,China,32,1.1,Online Games
1577,V. Prem Watsa,Canada,65,1.1,"Insurance, Investments"
1577,Gjert Wilhelmsen,Norway,90,1.1,Cruise Ships
1577,Gustav Magnar Witzoe,Norway,22,1.1,Fish Farming
1577,Allan Wong,Hong Kong,65,1.1,Electronics
1577,Swift Xie,China,n/a,1.1,Drones
1577,Yao Xinyi,China,51,1.1,Air Conditioning
1577,Albert Yeung,Hong Kong,72,1.1,"Real Estate, Retail"
1577,Yin Xingman,China,59,1.1,Auto Parts
1577,Yu Peidi,Hong Kong,56,1.1,Real Estate
1577,Gavril Yushvaev,Russia,58,1.1,"Precious Metals, Real Estate"
1577,Zhai Meiqin,Hong Kong,52,1.1,Conglomerate
1577,Zhang Zhongneng,China,52,1.1,Aluminum
1694,Antti Aarnio-Wihuri,Finland,76,1,Diversified
1694,Hamdi Akin,Turkey,61,1,Diversified
1694,Mohed Altrad,France,67,1,"Scaffolding, Cement Mixers"
1694,Alexei Ananyev,Russia,51,1,"Banking, It, Real Estate"
1694,Dmitry Ananyev,Russia,47,1,"Banking, It, Real Estate"
1694,William F. Austin,United States,74,1,Hearing Aids
1694,Roman Avdeev,Russia,48,1,"Banking, Development"
1694,Mehmet Rustu Basaran,Turkey,69,1,"Bank, Gas"
1694,Fred Chang,United States,59,1,Online Retailing
1694,Leon Charney,United States,74,1,Real Estate
1694,Chen Jiancheng,China,57,1,Manufacturing
1694,Chen Jiangtao,China,54,1,Software
1694,Bruce Cheng,Taiwan,80,1,Electronics
1694,Cheng Wei,China,33,1,Ride-Hailing Service
1694,Cho Jung-Ho,South Korea,57,1,Finance
1694,Robert Citrone,United States,51,1,Hedge Fund
1694,Husain Djojonegoro,Indonesia,66,1,Consumer Goods
1694,Jack Dorsey,United States,39,1,Twitter
1694,Dou Zhenggang,China,62,1,"Energy, Waste, Chemicals"
1694,Alfredo Egydio Arruda Villela Filho,Brazil,46,1,Banking
1694,Piero Ferrari,Italy,70,1,Automobiles
1694,Paul Fireman,United States,72,1,Reebok
1694,J. Christopher Flowers,United States,58,1,Investments
1694,Donald Friese,United States,75,1,Manufacturing
1694,Fu Kwan,China,58,1,"Real Estate, Diversified"
1694,Gao Dekang,China,64,1,Apparel
1694,Don Gao,China,51,1,Power Tools
1694,Valentin Gapontsev,Russia,77,1,Lasers
1694,Ken Grossman,United States,61,1,Beer
1694,Achmad Hamami,Indonesia,85,1,Heavy Equipment
1694,He Zhiping,China,52,1,Investments
1694,Ilona Herlin,Finland,51,1,"Elevators, Escalators"
1694,David Hindawi,United States,71,1,Software
1694,Orion Hindawi,United States,36,1,Software
1694,Niranjan Hiranandani,India,65,1,Real Estate
1694,Surendra Hiranandani,India,61,1,Real Estate
1694,Daniel Hirschfeld,United States,74,1,Apparel Retailer
1694,Hong Ra-Hee,South Korea,70,1,Samsung
1694,Drew Houston,United States,32,1,Dropbox
1694,Huang Bingwen,Australia,62,1,Cigarette Packaging
1694,Morris Kahn,Israel,86,1,Software
1694,Jonas Kamprad,Sweden,49,1,Ikea
1694,Mathias Kamprad,Sweden,46,1,Ikea
1694,Peter Kamprad,Sweden,51,1,Ikea
1694,Thomas Kaplan,United States,53,1,Investments
1694,Kenji Kasahara,Japan,40,1,Social Networking Website
1694,Viktor Kharitonin,Russia,43,1,Pharmaceuticals
1694,Habil Khorakiwala,India,73,1,Pharmaceuticals
1694,Koh Wee Meng,Singapore,52,1,"Real Estate, Hotels"
1694,Yuriy Kosiuk,Ukraine,47,1,Agriculture
1694,Nancy Lerner,United States,55,1,Finance
1694,Norma Lerner,United States,79,1,Finance
1694,Randolph Lerner,United States,54,1,Finance
1694,Lev Leviev,Israel,60,1,Diamonds
1694,Rodney Lewis,United States,62,1,Natural Gas
1694,Li Fuchao,China,58,1,Auto Parts
1694,Liu Shaoxi,China,52,1,Real Estate
1694,Lo Siu-tong,Hong Kong,85,1,"Real Estate, Hotels"
1694,Low Tuck Kwong,Indonesia,67,1,Coal
1694,Lu Feng,China,n/a,1,Financial Information
1694,Lu Yonghua,China,52,1,Electronics
1694,Lv Yongxiang,China,66,1,Magnetic Switches
1694,William Macaulay,United States,70,1,Energy Investments
1694,"Cargill MacMillan, III.",United States,56,1,Cargill
1694,John MacMillan,United States,66,1,Cargill
1694,Martha MacMillan,United States,64,1,Cargill
1694,William MacMillan,United States,61,1,Cargill
1694,George Marcus,United States,74,1,Real Estate
1694,Miguel McKelvey,United States,41,1,WeWork
1694,John Morgridge,United States,82,1,Computer Hardware
1694,Masahiro Noda,Japan,77,1,Software
1694,Peng Jianhu,China,59,1,Tourism
1694,Mark Pincus,United States,50,1,Online Games
1694,Alberto Prada,Italy,n/a,1,Prada
1694,Marina Prada,Italy,n/a,1,Prada
1694,Dmitry Pumpyansky,Russia,51,1,Steel Pipes
1694,Megdet Rahimkulov,Russia,70,1,Investments
1694,Sudthida Ratanarak,Thailand,n/a,1,"Media, Real Estate"
1694,Andrea Reimann-Ciardelli,United States,59,1,Consumer Goods
1694,Alberto Roemmers,Argentina,89,1,Pharmaceuticals
1694,Arkady Rotenberg,Russia,64,1,"Construction, Pipes, Banking"
1694,Boris Rotenberg,Russia,59,1,"Construction, Pipes, Chemicals"
1694,Sevket Sabanci,Turkey,79,1,Diversified
1694,Deniz Sahenk,Turkey,70,1,"Bank, Media"
1694,Nobutada Saji,Japan,70,1,Beverages
1694,Evan Sharp,United States,33,1,Pinterest
1694,Shen Dongri,China,43,1,Apparel
1694,Neil Shen,Hong Kong,46,1,Venture Capital Investing
1694,Bruno Steinhoff,Germany,78,1,Furniture
1694,Beny Steinmetz,Israel,59,1,"Mining, Diamonds, Real Estate"
1694,William Stone,United States,60,1,SS&C Technologies
1694,Sun Hongbin,United States,53,1,Real Estate
1694,Sun Qinghuan,China,42,1,Lighting
1694,Yoshikazu Tanaka,Japan,39,1,Online Social Network
1694,Mehmet Sinan Tara,Turkey,57,1,Construction
1694,Tiong Hiew King,Malaysia,80,1,Timber/Media
1694,Ion Tiriac,Romania,76,1,"Banking, Insurance"
1694,Joop van den Ende,Netherlands,74,1,TV
1694,Murat Vargi,Turkey,68,1,Telecom
1694,Alexander Vik,Norway,61,1,Investments
1694,Wan Lianbu,China,50,1,Fertilizers
1694,Wang Jinshu,China,59,1,Chemicals
1694,Wang Junmin,China,47,1,Pharmaceuticals
1694,Wang Wenliang,China,61,1,Shipping Ports
1694,Wei Shaojun,China,53,1,Real Estate
1694,Sanford Weill,United States,82,1,Citigroup
1694,Wu Chung-Yi,Taiwan,57,1,Auto Parts
1694,Xiu Laigui,China,61,1,Pharmaceuticals
1694,Jane Yan,China,46,1,Software
1694,Luis Enrique Yarur Rey,Chile,65,1,Banking
1694,Fatma Yazici,Turkey,42,1,Diversified
1694,Ye Cheng,China,54,1,Conglomerate
1694,Zeng Kaitian,China,41,1,Online Games
1694,Zhang Keqiang,China,55,1,Real Estate
1694,Zhang Wanzhen,China,66,1,Advanced Ceramics
1694,Zhou Yaoting,China,73,1,"Apparel, Real Estate"
1694,Zhuang Min,China,47,1,Surveillance Equipment
